Folder,New name,Original name,Duplicates removed,Duplicate file names
CT,CT UROGRAM.txt,CT UROGRAM.txt,0,
CT,CTA  AbdPel.txt,CTA  AbdPel.txt,3,CTA  AbdPel_2.txt; CTA  AbdPel_3.txt; CTA  AbdPel_5.txt
CT,CTA  AbdPel_4.txt,CTA  AbdPel_4.txt,0,
CT,CTA Abdomen and pelvis.txt,CTA Abdomen and pelvis.txt,0,
CT,CTA AP (S).txt,CTA AP (S).txt,0,
CT,CTA AP (S)_2.txt,CTA AP (S)_2.txt,0,
CT,CTA Chest and Abdomen.txt,CTA Chest and Abdomen.txt,0,
CT,CTA Chest and Abdomen_2.txt,CTA Chest and Abdomen_2.txt,0,
CT,CTA HEAD & NECK.txt,CTA HEAD & NECK.txt,1,CTA HEAD & NECK_3.txt
CT,CTA HEAD & NECK_2.txt,CTA HEAD & NECK_2.txt,2,CTA HEAD & NECK_4.txt; CTA HEAD & NECK_5.txt
CT,CTA HEAD & NECK_6.txt,CTA HEAD & NECK_6.txt,0,
CT,CTA HEAD.txt,CTA HEAD.txt,2,CTA HEAD_2.txt; CTA HEAD_3.txt
CT,CTA NECK (m).txt,CTA NECK (m).txt,1,CTA NECK_2.txt
CT,CTA NECK (S).txt,CTA NECK (S).txt,0,
CT,CTA NECK.txt,CTA NECK.txt,2,CTA NECK_3.txt; CTA NECK_4.txt
CT,CTA PAN SCAN.txt,CTA PAN SCAN.txt,2,CTA PAN SCAN_2.txt; CTA PAN SCAN_4.txt
CT,CTA PAN SCAN_3.txt,CTA PAN SCAN_3.txt,0,
CT,CTA PE (m).txt,CTA PE (m).txt,1,CTA PE_4.txt
CT,CTA PE.txt,CTA PE.txt,2,CTA PE_3.txt; CTA PE_5.txt
CT,CTA PE_2.txt,CTA PE_2.txt,0,
CT,CTA PE_6.txt,CTA PE_6.txt,0,
CT,CTA Runoff (s).txt,CTA Runoff (s).txt,0,
CT,CTA Runoff.txt,CTA Runoff.txt,2,CTA Runoff (s)_2.txt; CTA Runoff_4.txt
CT,CTA Runoff_2.txt,CTA Runoff_2.txt,0,
CT,CTA Runoff_3.txt,CTA Runoff_3.txt,0,
CT,CTA Runoff_5.txt,CTA Runoff_5.txt,0,
CT,CTAP (ENTERO).txt,CTAP (ENTERO).txt,0,
CT,CTAP (S) WITHOUT.txt,CTAP (S) WITHOUT.txt,0,
CT,CTAP (S) WITHOUT_2.txt,CTAP (S) WITHOUT_2.txt,0,
CT,CTAP (S).txt,CTAP (S).txt,0,
CT,CTAP WITH (M).txt,CTAP WITH (M).txt,0,
CT,CTAP WITH.txt,CTAP WITH.txt,0,
CT,CTAP wo.txt,CTAP wo.txt,2,CTAP wo_2.txt; CTAP wo_3.txt
CT,CTAP(P).txt,CTAP(P).txt,0,
CT,CTAP.txt,CTAP.txt,0,
CT,CTAP_2.txt,CTAP_2.txt,1,CTAP_3.txt
CT,CTAPW.txt,CTAPW.txt,0,
CT,CTAPWO.txt,CTAPWO.txt,0,
CT,CTCH low dose (M).txt,CTCH low dose (M).txt,2,CTCH low dose (M)_2.txt; CTCH low dose_2.txt
CT,CTCH low dose.txt,CTCH low dose.txt,0,
CT,CTLD.txt,CTLD.txt,0,
CT,CTV AP (S).txt,CTV AP (S).txt,0,
DEXA,DEXA Bone Density.txt,Bone Density.txt,3,Bone Density XR.txt; Bone Density XR_2.txt; Bone Density_3.txt
DEXA,DEXA.txt,DEXA.txt,0,
Fluoro,Fluoro SBFT.txt,SBFT.txt,0,
Fluoro,FLUORO.txt,FLUORO.txt,0,
Fluoro,FLUORO_2.txt,FLUORO_2.txt,0,
Fluoro,FLUORO_3.txt,FLUORO_3.txt,0,
MR,MR ABDOMEN_4.txt,ABDOMEN_4.txt,1,ABDOMEN_12.txt
MR,MR ABDOMEN_5.txt,ABDOMEN_5.txt,3,ABDOMEN_10.txt; ABDOMEN_17.txt; ABDOMEN_9.txt
MR,MR ANKLE.txt,ANKLE.txt,5,ANKLE (m).txt; ANKLE (m)_2.txt; ANKLE_11.txt; ANKLE_6.txt; ANKLE_8.txt
MR,MR Brain (M).txt,Brain (M).txt,0,
MR,MR BRAIN.txt,BRAIN.txt,3,BRAIN_3.txt; BRAIN_4.txt; BRAIN_5.txt
MR,MR Brain_2.txt,Brain_2.txt,0,
MR,MR CERVICAL (m).txt,CERVICAL (m).txt,1,CERVICAL_16.txt
MR,MR Cervical(p).txt,Cervical(p).txt,0,
MR,MR CERVICAL_3.txt,CERVICAL_3.txt,3,CERVICAL_11.txt; CERVICAL_14.txt; CERVICAL_5.txt
MR,MR ELBOW.txt,ELBOW.txt,1,ELBOW_4.txt
MR,MR EXTREMITY_3.txt,EXTREMITY_3.txt,0,
MR,MR FOOT.txt,FOOT.txt,1,FOOT_6.txt
MR,MR HIPS.txt,HIPS.txt,4,HIPS_2.txt; HIPS_3.txt; HIPS_4.txt; HIPS_6.txt
MR,MR HIPS_5.txt,HIPS_5.txt,0,
MR,MR KNEE (M).txt,KNEE (M).txt,0,
MR,MR KNEE.txt,KNEE.txt,3,KNEE_3.txt; KNEE_8.txt; KNEE_9.txt
MR,MR KNEE_7.txt,KNEE_7.txt,0,
MR,MR LUMBAR (M)_2.txt,LUMBAR (M)_2.txt,0,
MR,MR Lumbar MRI (P).txt,Lumbar MRI (P).txt,0,
MR,MR LUMBAR_4.txt,LUMBAR_4.txt,3,LUMBAR_11.txt; LUMBAR_14.txt; LUMBAR_7.txt
MR,MR LUMBAR_5.txt,LUMBAR_5.txt,0,
MR,MR NECT ST.txt,NECT ST.txt,1,NECK ST_2.txt
MR,MR PELVIS_4.txt,PELVIS_4.txt,4,PELVIS_12.txt; PELVIS_19.txt; PELVIS_22.txt; PELVIS_23.txt
MR,MR PELVIS_7.txt,PELVIS_7.txt,1,PELVIS_14.txt
MR,MR SACRUM.txt,SACRUM.txt,0,
MR,MR Shoulder (M).txt,Shoulder (M).txt,0,
MR,MR Shoulder_11.txt,Shoulder_11.txt,0,
MR,MR SHOULDER_2.txt,SHOULDER_2.txt,2,SHOULDER_7.txt; SHOULDER_9.txt
MR,MR SHOULDER_6.txt,SHOULDER_6.txt,0,
MR,MR THORACIC.txt,THORACIC.txt,4,THORACIC_13.txt; THORACIC_14.txt; THORACIC_18.txt; THORACIC_5.txt
MR,MR THORACIC_4.txt,THORACIC_4.txt,1,THORACIC_9.txt
MR,MR TMJ.txt,MR TMJ.txt,2,MR TMJ_2.txt; MR TMJ_3.txt
MR,MR WRIST_2.txt,WRIST_2.txt,0,
MR,MRA Brain.txt,MRA Brain.txt,1,MRA Brain_2.txt
